,County Name,State,Date,Cases,Deaths,Series_Complete_Yes,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct,Booster_Doses_Vax_Pct
1012208,Aleutians East Borough,AK,2021-12-15,135,0,2364,70.8,80.3,22.7
1012209,Aleutians West Census Area,AK,2021-12-15,350,2,3267,58.0,68.8,22.5
1012210,Bethel Census Area,AK,2021-12-15,6873,28,11577,63.0,70.9,39.3
1012211,Bristol Bay Borough,AK,2021-12-15,608,2,811,95.0,95.0,32.4
1012212,Denali Borough,AK,2021-12-15,234,0,1041,49.6,59.2,41.0
1012213,Dillingham Census Area,AK,2021-12-15,959,10,2304,46.9,52.5,35.9
1012214,Fairbanks North Star Borough,AK,2021-12-15,16874,108,50507,52.2,61.3,25.8
1012215,Haines Borough,AK,2021-12-15,231,1,1675,66.2,70.9,40.6
1012216,Hoonah-Angoon Census Area,AK,2021-12-15,0,0,1489,69.3,74.5,52.4
1012217,Kenai Peninsula Borough,AK,2021-12-15,11584,76,25653,43.7,49.4,37.3
1012218,Ketchikan Gateway Borough,AK,2021-12-15,2124,14,8433,60.7,66.5,34.0
1012219,Kodiak Island Borough,AK,2021-12-15,2574,10,7871,60.6,67.0,34.6
1012220,Kusilvak Census Area,AK,2021-12-15,1508,4,5307,63.8,70.6,33.5
1012221,Lake and Peninsula Borough,AK,2021-12-15,121,0,875,55.0,63.4,43.3
1012222,Matanuska-Susitna Borough,AK,2021-12-15,24438,159,38644,35.7,40.9,28.6
1012223,Nome Census Area,AK,2021-12-15,2312,3,6532,65.3,71.2,40.1
1012224,North Slope Borough,AK,2021-12-15,2653,7,3565,36.3,40.6,38.1
1012225,Northwest Arctic Borough,AK,2021-12-15,2326,10,4159,54.6,60.7,43.7
1012226,Southeast Fairbanks Census Area,AK,2021-12-15,1297,13,2182,31.7,36.4,30.9
1012227,Valdez-Cordova Census Area,AK,2021-12-15,1130,11,5056,54.9,60.8,36.9
1012228,Yukon-Koyukuk Census Area,AK,2021-12-15,812,8,3381,64.6,74.4,40.2
1012229,Autauga County,AL,2021-12-15,10641,158,21129,37.8,47.3,22.3
1012230,Baldwin County,AL,2021-12-15,38413,591,104789,46.9,59.5,25.0
1012231,Barbour County,AL,2021-12-15,3719,81,10222,41.4,50.8,18.8
1012232,Bibb County,AL,2021-12-15,4388,95,7237,32.3,39.5,22.0
